Selected,Country,mds-x,mds-y,Selected (1),Selected (2),Continent ,Cluster,Silhouette,Continent ,Exp1952,Exp1957,Exp1962,Exp1967,Exp1972,Exp1977,Exp1982,Exp1987,Exp1992,Exp1997,Exp2002,Exp2007,GDP1952,GDP1957,GDP1962,GDP1967,GDP1972,GDP1977,GDP1982,GDP1987,GDP1992,GDP1997,GDP2002,GDP2007
No,Afghanistan,4.96557,1.69163,No,No,Asia,C3,0.628923,Asia,29,30,32,34,36,38,40,41,42,42,42,44,779,821,853,836,740,786,978,852,649,635,727,975
No,Albania,-0.558268,-2.37713,No,No,Europe,C4,0.560436,Europe,55,59,65,66,68,69,70,72,72,73,76,76,1601,1942,2313,2760,3313,3533,3631,3739,2497,3193,4604,5937
No,Algeria,0.641699,-0.438176,No,No,Africa,C1,0.586503,Africa,43,46,48,51,55,58,61,66,68,69,71,72,2449,3014,2551,3247,4183,4910,5745,5681,5023,4797,5288,6223
No,Angola,3.84924,2.88886,No,No,Africa,C3,0.618087,Africa,30,32,34,36,38,39,40,40,41,41,41,43,3521,3828,4269,5523,5473,3009,2757,2430,2628,2277,2773,4797
No,Argentina,-2.1905,-0.251664,No,No,Americas,C4,0.622494,Americas,62,64,65,66,67,68,70,71,72,73,74,75,5911,6857,7133,8053,9443,10079,8998,9140,9308,10967,8798,12779
No,Australia,-5.51961,1.47104,No,No,Oceania,C2,0.601638,Oceania,69,70,71,71,72,73,75,76,78,79,80,81,10040,10950,12217,14526,16789,18334,19477,21889,23425,26998,30688,34435
No,Austria,-5.37549,0.651809,No,No,Europe,C2,0.543535,Europe,67,67,70,70,71,72,73,75,76,78,79,80,6137,8843,10751,12835,16662,19749,21597,23688,27042,29096,32418,36126
No,Bahrain,-3.84887,2.49902,No,No,Asia,C2,0.538227,Asia,51,54,57,60,63,66,69,71,73,74,75,76,9867,11636,12753,14805,18269,19340,19211,18524,19036,20292,23404,29796
No,Bangladesh,3.1016,-0.641057,No,No,Asia,C5,0.585497,Asia,37,39,41,43,45,47,50,53,56,59,62,64,684,662,686,721,630,660,677,752,838,973,1136,1391
No,Belgium,-5.34716,0.91678,No,No,Europe,C2,0.589205,Europe,68,69,70,71,71,73,74,75,76,78,78,79,8343,9715,10991,13149,16672,19118,20980,22526,25576,27561,30486,33693
No,Benin,3.00086,0.341983,No,No,Africa,C5,0.531124,Africa,38,40,43,45,47,49,51,52,54,55,54,57,1063,960,949,1036,1086,1029,1278,1226,1191,1233,1373,1441
No,Bolivia,1.85165,0.0708145,No,No,Americas,C5,0.588278,Americas,40,42,43,45,47,50,54,57,60,62,64,66,2677,2128,2181,2587,2980,3548,3157,2754,2962,3326,3413,3822
No,Bosnia and Herzegovina,-0.426605,-2.32334,No,No,Europe,C4,0.540453,Europe,54,58,62,65,67,70,71,71,72,73,74,75,974,1354,1710,2172,2860,3528,4127,4314,2547,4766,6019,7446
